slice,Locality,X,Y,Country,age_min,age_max,age_diff
slice_70000_60000,Geißenklösterle,9.771,48.398,Germany,49000,73000,24000
slice_70000_60000,Ghiardo,10.503,44.67,Italy,60000,70700,10700
slice_70000_60000,Grotta di Santo Agostino,13.494,41.234,Italy,43000,65000,22000
slice_70000_60000,Grotte Mandrin,4.771,44.47,France,50000,71000,21000
slice_70000_60000,Grotte Rainaude 1,6.595,43.53,France,45000,71000,26000
slice_70000_60000,Grotte Vaufrey,1.159,44.813,France,57000,71000,14000
slice_70000_60000,Grotte de l_Ermitage,0.734,46.404,France,40000,70000,30000
slice_70000_60000,Gruta da Oliveira,-8.615,39.505,Portugal,65000,71000,6000
slice_70000_60000,Guattari,13.096,41.232,Italy,55000,80000,25000
slice_70000_60000,Hallera Av. site,16.995,51.09,Poland,49900,60900,11000
slice_70000_60000,Haut de Combe-Capelle,0.85,44.753,France,40000,70000,30000
slice_70000_60000,Hohlenstein-Stadel,10.173,48.549,Germany,50000,70000,20000
slice_70000_60000,Klissoura 1,22.808,37.69,Greece,60000,64000,4000
slice_70000_60000,Kulna Cave,16.738,49.408,Czech Republic,49300,77500,28200
slice_70000_60000,La Folie,0.356,46.618,France,55300,85000,29700
slice_70000_60000,La Grotte Marcel Clouet,-0.346,45.708,France,40000,70000,30000
slice_70000_60000,La Quina - Amont,0.295,45.508,France,55000,65000,10000
slice_70000_60000,La Roche Cotard,0.431,47.337,France,69000,81500,12500
slice_70000_60000,Le Baste,-1.46,43.479,France,40000,70000,30000
slice_70000_60000,Le Moustier_Abri inférieur,1.06,44.994,France,40700,60800,20100
slice_70000_60000,Les Canalettes,3.26,43.982,France,67500,79500,12000
slice_70000_60000,Les Pradelles,0.432,45.74,France,40130,62400,22270
slice_70000_60000,Lichtenberg,11.255,52.918,Germany,62800,78800,16000
slice_70000_60000,Loewenburg Neu-Muehlefeld III,7.3,47.41,Switzerland,50000,75000,25000
slice_70000_60000,Mander,6.826,52.445,Netherlands,40000,70000,30000
slice_70000_60000,Moula Guercy,4.848,44.883,France,50000,72000,22000
slice_70000_60000,Noir Bois,7.12,47.43,Switzerland,50000,75000,25000
slice_70000_60000,Pech de l Azé II,1.253,44.859,France,56000,72000,16000
slice_70000_60000,Pech de l Azé IV,1.255,44.858,France,69000,80300,11300
slice_70000_60000,Plaidter Hummerich,7.366,50.385,Germany,57000,82000,25000
slice_70000_60000,Quincay,0.236,46.607,France,40000,70000,30000
slice_70000_60000,Regourdou,1.178,45.055,France,57000,71000,14000
slice_70000_60000,Riparo Tagliente,11.001,45.541,Italy,42000,70000,28000
